,artists,album,genre,scores,years,labels,dates,reviewer,Release Year,day,month,electronic,pop,r&b,rap,experimental,rock,global,folk,country,jazz,Reissue,Prev1,Prev2,Prev3,Prev4,Prev5,Prev6,Prev7,Prev8,Prev9,Prev10,Wait,Major,MajorIndie,Label Switch,Other
9486,Various Artists,The Biggest Ragga Dancehall Anthems 2009,,7.5,2009,Greensleeves,2010-01-26,Jess Harvell,2009,26,1,0,0,0,0,0,0,0,0,0,0,0,6.0,0.2,7.3,5.6,7.0,8.6,6.8,7.5,5.9,7.4,0.0,0,0,0,1
9487,Various Artists,The Biggest Reggae One-Drop Anthems 2009,,6.0,2009,Greensleeves,2010-01-26,Jess Harvell,2009,26,1,0,0,0,0,0,0,0,0,0,0,0,0.2,7.3,5.6,7.0,8.6,6.8,7.5,5.9,7.4,8.7,0.0,0,0,1,1
10780,Various Artists,Johnny Cash Remixed,,0.2,2009,Compadre,2009-01-20,Stephen M. Deusner,2009,20,1,0,0,0,0,0,0,0,0,0,0,0,7.3,5.6,7.0,8.6,6.8,7.5,5.9,7.4,8.7,8.2,0.0,0,0,1,1
9512,Various Artists,Underwater Peoples Winter Review,,7.3,2009,Underwater Peoples,2010-01-19,Zach Kelly,2009,19,1,0,0,0,0,0,0,0,0,0,0,0,5.6,7.0,8.6,6.8,7.5,5.9,7.4,8.7,8.2,6.3,0.0,0,0,1,1
9558,Various Artists,ATL RMX,,5.6,2009,Adultswim.com,2010-01-07,Ian Cohen,2009,7,1,0,0,0,0,0,0,0,0,0,0,0,7.0,8.6,6.8,7.5,5.9,7.4,8.7,8.2,6.3,8.8,0.0,0,0,1,1
9571,Various Artists,Kitsuné Maison 8,,7.0,2009,Kitsuné,2010-01-04,Brian Howe,2009,4,1,0,0,0,0,0,0,0,0,0,0,0,8.6,6.8,7.5,5.9,7.4,8.7,8.2,6.3,8.8,5.2,1.0,0,0,1,1
10841,Various Artists,Give Me Love: Songs of the Brokenhearted - Baghdad 1925-1929,,8.6,2008,Honest Jon's,2008-12-12,Joe Tangari,2008,12,12,0,0,0,0,0,0,0,0,0,0,0,6.8,7.5,5.9,7.4,8.7,8.2,6.3,8.8,5.2,4.7,0.0,0,0,1,1
10846,Various Artists,I'll Stay 'Til After Christmas,,6.8,2008,AWR,2008-12-11,Marc Hogan,2008,11,12,0,0,0,0,0,0,0,0,0,0,0,7.5,5.9,7.4,8.7,8.2,6.3,8.8,5.2,4.7,8.0,0.0,0,0,1,1
10851,Various Artists,1970's Algerian Proto-Raï Underground,,7.5,2008,Sublime Frequencies,2008-12-10,Joshua Klein,2008,10,12,0,0,0,0,0,0,0,0,0,0,0,5.9,7.4,8.7,8.2,6.3,8.8,5.2,4.7,8.0,6.9,0.0,0,0,1,1
10866,Various Artists,Kitsuné Maison 6: The Melodic One,,5.9,2008,Kitsuné,2008-12-05,Marc Hogan,2008,5,12,0,0,0,0,0,0,0,0,0,0,0,7.4,8.7,8.2,6.3,8.8,5.2,4.7,8.0,6.9,7.2,0.0,0,0,1,1
10883,Various Artists,I Love Dubstep,,7.4,2008,Rinse FM,2008-12-02,Nate Patrin,2008,2,12,0,0,0,0,0,0,0,0,0,0,0,8.7,8.2,6.3,8.8,5.2,4.7,8.0,6.9,7.2,9.0,0.0,0,0,1,1
10894,Various Artists,Love Train: The Sound of Philadelphia,,8.7,2008,Sony,2008-11-26,Nate Patrin,2008,26,11,0,0,0,0,0,0,0,0,0,0,0,8.2,6.3,8.8,5.2,4.7,8.0,6.9,7.2,9.0,8.5,0.0,1,0,1,0
10896,Various Artists,Eccentric Soul: The Young Disciples,,8.2,2008,Numero Group,2008-11-25,Joe Tangari,2008,25,11,0,0,0,0,0,0,0,0,0,0,0,6.3,8.8,5.2,4.7,8.0,6.9,7.2,9.0,8.5,8.2,0.0,0,0,1,1
10927,Various Artists,Hallam Foe OST,,6.3,2008,Domino,2008-11-17,Joshua Klein,2008,17,11,0,0,0,0,0,0,0,0,0,0,0,8.8,5.2,4.7,8.0,6.9,7.2,9.0,8.5,8.2,8.5,0.0,0,1,1,0
11025,Various Artists,"Awake, My Soul: The Original Soundtrack / Help Me to Sing: Songs of the Sacred Harp",,8.8,2008,Awake Productions,2008-10-21,Stephen M. Deusner,2008,21,10,0,0,0,0,0,0,0,0,0,0,0,5.2,4.7,8.0,6.9,7.2,9.0,8.5,8.2,8.5,6.2,0.0,0,0,1,1
11035,Various Artists,Nick and Norah's Infinite Playlist OST,,5.2,2008,Atlantic,2008-10-17,Paul Thompson,2008,17,10,0,0,0,0,0,0,0,0,0,0,0,4.7,8.0,6.9,7.2,9.0,8.5,8.2,8.5,6.2,8.9,0.0,1,0,1,0
11095,Various Artists,Nobody Knows Anything: DFA Presents Supersoul Recordings,,4.7,2008,Death From Abroad,2008-10-01,Douglas Wolk,2008,1,10,0,0,0,0,0,0,0,0,0,0,0,8.0,6.9,7.2,9.0,8.5,8.2,8.5,6.2,8.9,7.4,0.0,0,0,1,1
11246,Various Artists,Eccentric Soul: The Tragar & Note Labels,,8.0,2008,Numero Group,2008-08-22,Joe Tangari,2008,22,8,0,0,0,0,0,0,0,0,0,0,0,6.9,7.2,9.0,8.5,8.2,8.5,6.2,8.9,7.4,6.1,0.0,0,0,0,1
11258,Various Artists,Total 9,,6.9,2008,Numero Group,2008-08-20,Tim Finney,2008,20,8,0,0,0,0,0,0,0,0,0,0,0,7.2,9.0,8.5,8.2,8.5,6.2,8.9,7.4,6.1,7.2,0.0,0,0,0,1
11272,Various Artists,B-Boy Records: The Masterworks,,7.2,2008,Numero Group,2008-08-15,Nate Patrin,2008,15,8,0,0,0,0,0,0,0,0,0,0,0,9.0,8.5,8.2,8.5,6.2,8.9,7.4,6.1,7.2,8.4,0.0,0,0,0,1
11278,Various Artists,"The Complete Motown Singles, Vol. 10: 1970",,9.0,2008,Numero Group,2008-08-14,Joe Tangari,2008,14,8,0,0,0,0,0,0,0,0,0,0,0,8.5,8.2,8.5,6.2,8.9,7.4,6.1,7.2,8.4,8.2,0.0,0,0,0,1
11318,Various Artists,"Nigeria 70: Lagos Jump, Original Heavyweight Afrobeat, Highlife & Afro-Funk",,8.5,2008,Numero Group,2008-08-04,Joe Tangari,2008,4,8,0,0,0,0,0,0,0,0,0,0,0,8.2,8.5,6.2,8.9,7.4,6.1,7.2,8.4,8.2,5.6,0.0,0,0,1,1
11423,Various Artists,Nigeria Disco Funk Special,,8.2,2008,Sound Way,2008-07-07,Joe Tangari,2008,7,7,0,0,0,0,0,0,0,0,0,0,0,8.5,6.2,8.9,7.4,6.1,7.2,8.4,8.2,5.6,6.7,0.0,0,0,0,1
11424,Various Artists,Nigeria Rock Special,,8.5,2008,Sound Way,2008-07-07,Joe Tangari,2008,7,7,0,0,0,0,0,0,0,0,0,0,0,6.2,8.9,7.4,6.1,7.2,8.4,8.2,5.6,6.7,8.2,0.0,0,0,1,1
11441,Various Artists,Muting the Noise,,6.2,2008,Numero Group,2008-07-01,Andy Battaglia,2008,1,7,0,0,0,0,0,0,0,0,0,0,0,8.9,7.4,6.1,7.2,8.4,8.2,5.6,6.7,8.2,7.8,0.0,0,0,1,1
11490,Various Artists,African Scream Contest: Raw & Psychedelic Sounds From Benin & Togo 70s,,8.9,2008,Analog Africa,2008-06-17,Joe Tangari,2008,17,6,0,0,0,0,0,0,0,0,0,0,0,7.4,6.1,7.2,8.4,8.2,5.6,6.7,8.2,7.8,7.0,0.0,0,0,1,1
11509,Various Artists,Ailanthus,Rock,7.4,2008,Metronomicon Audio,2008-06-12,Stephen M. Deusner,2008,12,6,0,0,0,0,0,1,0,0,0,0,0,6.1,7.2,8.4,8.2,5.6,6.7,8.2,7.8,7.0,7.4,0.0,0,0,1,1
11567,Various Artists,Imaginational Anthem Vol. 3,,6.1,2008,Tompkins Square,2008-05-27,Matthew Murphy,2008,27,5,0,0,0,0,0,0,0,0,0,0,0,7.2,8.4,8.2,5.6,6.7,8.2,7.8,7.0,7.4,8.5,0.0,0,0,1,1
11580,Various Artists,Street Sounds Electro: The Ultimate Boxed Set,,7.2,2008,Street Sounds,2008-05-22,Nate Patrin,2008,22,5,0,0,0,0,0,0,0,0,0,0,0,8.4,8.2,5.6,6.7,8.2,7.8,7.0,7.4,8.5,7.5,0.0,0,0,1,1
11584,Various Artists,Soul Messages from Dimona,,8.4,2008,Numero Group,2008-05-21,Joe Tangari,2008,21,5,0,0,0,0,0,0,0,0,0,0,0,8.2,5.6,6.7,8.2,7.8,7.0,7.4,8.5,7.5,8.0,0.0,0,0,1,1
11595,Various Artists,Carolina Funk: First in Funk 1968-1977,,8.2,2008,Now Again/Jazzman,2008-05-19,Joe Tangari,2008,19,5,0,0,0,0,0,0,0,0,0,0,0,5.6,6.7,8.2,7.8,7.0,7.4,8.5,7.5,8.0,7.8,0.0,0,0,1,1
11596,Various Artists,The Green Owl Comp: A Benefit for Energy Action,,5.6,2008,Green Owl,2008-05-19,Rebecca Raber,2008,19,5,0,0,0,0,0,0,0,0,0,0,0,6.7,8.2,7.8,7.0,7.4,8.5,7.5,8.0,7.8,8.0,0.0,0,0,1,1
11608,Various Artists,Truth & Soul: Fallin' Off the Reel II,,6.7,2008,Truth & Soul,2008-05-14,Joe Tangari,2008,14,5,0,0,0,0,0,0,0,0,0,0,0,8.2,7.8,7.0,7.4,8.5,7.5,8.0,7.8,8.0,3.9,0.0,0,0,1,1
11635,Various Artists,Funky Nassau: The Compass Point Story 1980-1986,,8.2,2008,Strut,2008-05-07,Nate Patrin,2008,7,5,0,0,0,0,0,0,0,0,0,0,0,7.8,7.0,7.4,8.5,7.5,8.0,7.8,8.0,3.9,7.0,0.0,0,0,1,1
11650,Various Artists,Yeti #5,,7.8,2008,Unknown,2008-05-02,Amy Granzin,2008,2,5,0,0,0,0,0,0,0,0,0,0,0,7.0,7.4,8.5,7.5,8.0,7.8,8.0,3.9,7.0,7.9,0.0,0,0,1,1
11690,Various Artists,In the Name of Love: Africa Celebrates U2,,7.0,2008,Shout! Factory,2008-04-22,Joshua Klein,2008,22,4,0,0,0,0,0,0,0,0,0,0,0,7.4,8.5,7.5,8.0,7.8,8.0,3.9,7.0,7.9,7.0,0.0,0,0,1,1
11697,Various Artists,Don't Stop: Recording Tap,,7.4,2008,Numero Group,2008-04-21,Joe Tangari,2008,21,4,0,0,0,0,0,0,0,0,0,0,0,8.5,7.5,8.0,7.8,8.0,3.9,7.0,7.9,7.0,6.1,0.0,0,0,1,1
11741,Various Artists,The Sound of Philadelphia: Gamble & Huff's Greatest Hits,,8.5,2008,Philadelphia International/Legacy,2008-04-10,Nate Patrin,2008,10,4,0,0,0,0,0,0,0,0,0,0,0,7.5,8.0,7.8,8.0,3.9,7.0,7.9,7.0,6.1,7.6,0.0,1,0,0,0
11742,Various Artists,Conquer the World: The Lost Soul of Philadelphia International Records,,7.5,2008,Philadelphia International/Legacy,2008-04-10,Nate Patrin,2008,10,4,0,0,0,0,0,0,0,0,0,0,0,8.0,7.8,8.0,3.9,7.0,7.9,7.0,6.1,7.6,6.2,0.0,1,0,1,0
11757,Various Artists,"Nigeria Special: Modern Highlife, Afro-Sounds & Nigerian Blues",,8.0,2008,Soundway,2008-04-07,Joshua Klein,2008,7,4,0,0,0,0,0,0,0,0,0,0,0,7.8,8.0,3.9,7.0,7.9,7.0,6.1,7.6,6.2,8.0,0.0,0,0,1,1
11814,Various Artists,Love and Circuits: A Cardboard Records Compilation (From Aa To Zs),,7.8,2008,Cardboard,2008-03-21,Jason Crock,2008,21,3,0,0,0,0,0,0,0,0,0,0,0,8.0,3.9,7.0,7.9,7.0,6.1,7.6,6.2,8.0,8.0,0.0,0,0,1,1
10563,Various Artists,Calypsoul 70: Caribbean Soul & Calypso Crossover 1969-1979,,8.0,2008,Strut,2009-03-19,Joe Tangari,2008,19,3,0,0,0,0,0,0,0,0,0,0,0,3.9,7.0,7.9,7.0,6.1,7.6,6.2,8.0,8.0,6.6,0.0,0,0,1,1
10590,Various Artists,Perfect As Cats: A Tribute to the Cure,,3.9,2008,American Laundromat,2009-03-12,Ian Cohen,2008,12,3,0,0,0,0,0,0,0,0,0,0,0,7.0,7.9,7.0,6.1,7.6,6.2,8.0,8.0,6.6,7.2,0.0,0,0,1,1
11848,Various Artists,Love Goes On: A Tribute to Grant McLennan,,7.0,2008,Rare Victory,2008-03-12,Stuart Berman,2008,12,3,0,0,0,0,0,0,0,0,0,0,0,7.9,7.0,6.1,7.6,6.2,8.0,8.0,6.6,7.2,7.4,0.0,0,0,1,1
11910,Various Artists,Living Bridge,,7.9,2008,Rare Book Room,2008-02-25,Marc Masters,2008,25,2,0,0,0,0,0,0,0,0,0,0,0,7.0,6.1,7.6,6.2,8.0,8.0,6.6,7.2,7.4,5.1,0.0,0,0,1,1
11943,Various Artists,Wayfaring Strangers: Guitar Soli,,7.0,2008,Numero Group,2008-02-14,Andrew Gaerig,2008,14,2,0,0,0,0,0,0,0,0,0,0,0,6.1,7.6,6.2,8.0,8.0,6.6,7.2,7.4,5.1,9.2,0.0,0,0,1,1
11980,Various Artists,Kitsuné Maison 5,,6.1,2008,Kitsuné,2008-02-06,Tim Finney,2008,6,2,0,0,0,0,0,0,0,0,0,0,0,7.6,6.2,8.0,8.0,6.6,7.2,7.4,5.1,9.2,9.0,0.0,0,0,1,1
11993,Various Artists,Always Lift Him Up: A Tribute to Blind Alfred Reed,,7.6,2008,Proper American/West Virginia Music Hal of Fame,2008-02-01,Stephen M. Deusner,2008,1,2,0,0,0,0,0,0,0,0,0,0,0,6.2,8.0,8.0,6.6,7.2,7.4,5.1,9.2,9.0,7.2,0.0,1,0,1,0
12052,Various Artists,"Disco Not Disco: Post Punk, Electro & Leftfield Disco Classics 1974-1986",,6.2,2008,Strut,2008-01-17,Andy Battaglia,2008,17,1,0,0,0,0,0,0,0,0,0,0,0,8.0,8.0,6.6,7.2,7.4,5.1,9.2,9.0,7.2,8.9,0.0,0,0,1,1
10795,Various Artists,Titan: It's All Pop!,,8.0,2008,Numero Group,2009-01-15,Joe Tangari,2008,15,1,0,0,0,0,0,0,0,0,0,0,0,8.0,6.6,7.2,7.4,5.1,9.2,9.0,7.2,8.9,9.0,0.0,0,0,1,1
10811,Various Artists,"Living Is Hard: West African Music in Britain, 1927-1929",,8.0,2008,Honest Jon's,2009-01-12,Joe Tangari,2008,12,1,0,0,0,0,0,0,0,0,0,0,0,6.6,7.2,7.4,5.1,9.2,9.0,7.2,8.9,9.0,7.0,0.0,0,0,1,1
12082,Various Artists,...And All the Pieces Matter: Five Years of Music From The Wire,,6.6,2008,Nonesuch,2008-01-10,Tom Breihan,2008,10,1,0,0,0,0,0,0,0,0,0,0,0,7.2,7.4,5.1,9.2,9.0,7.2,8.9,9.0,7.0,7.3,0.0,0,0,0,1
12083,Various Artists,Beyond Hamsterdam: Baltimore Tracks from The Wire,,7.2,2008,Nonesuch,2008-01-10,Tom Breihan,2008,10,1,0,0,0,0,0,0,0,0,0,0,0,7.4,5.1,9.2,9.0,7.2,8.9,9.0,7.0,7.3,4.6,0.0,0,0,1,1
10828,Various Artists,Slumdog Millionaire OST,,7.4,2008,N.E.E.T.,2009-01-07,Joshua Klein,2008,7,1,0,0,0,0,0,0,0,0,0,0,0,5.1,9.2,9.0,7.2,8.9,9.0,7.0,7.3,4.6,6.8,0.0,0,0,1,1
10838,Various Artists,Zang Tumb Tuum: The ZTT Box Set,,5.1,2008,ZTT,2009-01-05,Tom Ewing,2008,5,1,0,0,0,0,0,0,0,0,0,0,0,9.2,9.0,7.2,8.9,9.0,7.0,7.3,4.6,6.8,7.5,1.0,0,0,1,1
12117,Various Artists,"The Complete Motown Singles, Vol. 8: 1968",,9.2,2007,Hip-O Select,2007-12-14,Joe Tangari,2007,14,12,0,0,0,0,0,0,0,0,0,0,0,9.0,7.2,8.9,9.0,7.0,7.3,4.6,6.8,7.5,4.4,0.0,0,0,1,1
12121,Various Artists,The Big Stiff Box Set,,9.0,2007,Salvo,2007-12-13,Stephen M. Deusner,2007,13,12,0,0,0,0,0,0,0,0,0,0,0,7.2,8.9,9.0,7.0,7.3,4.6,6.8,7.5,4.4,3.4,0.0,0,0,1,1
12129,Various Artists,Plum,,7.2,2007,Thrill Jockey,2007-12-12,Mark Richardson,2007,12,12,0,0,0,0,0,0,0,0,0,0,0,8.9,9.0,7.0,7.3,4.6,6.8,7.5,4.4,3.4,8.0,0.0,0,1,1,0
12134,Various Artists,Brazil 70: After Tropicália ? New Directions in Brazilian Music in the 1970s,,8.9,2007,Soul Jazz,2007-12-11,Joe Tangari,2007,11,12,0,0,0,0,0,0,0,0,0,0,0,9.0,7.0,7.3,4.6,6.8,7.5,4.4,3.4,8.0,6.1,0.0,0,0,1,1
12138,Various Artists,"The Art of Field Recording, Vol. 1",,9.0,2007,Dust-to-Digital,2007-12-10,Amanda Petrusich,2007,10,12,0,0,0,0,0,0,0,0,0,0,0,7.0,7.3,4.6,6.8,7.5,4.4,3.4,8.0,6.1,7.2,0.0,0,0,1,1
12165,Various Artists,Through the Wilderness: A Tribute to Madonna,,7.0,2007,Manimal Vinyl,2007-11-30,Stephen M. Deusner,2007,30,11,0,0,0,0,0,0,0,0,0,0,0,7.3,4.6,6.8,7.5,4.4,3.4,8.0,6.1,7.2,7.6,0.0,0,0,1,1
12190,Various Artists,Causes 1,,7.3,2007,Waxploitation,2007-11-26,Joe Tangari,2007,26,11,0,0,0,0,0,0,0,0,0,0,0,4.6,6.8,7.5,4.4,3.4,8.0,6.1,7.2,7.6,8.2,0.0,0,0,1,1
12204,Various Artists,Discovered: A Collection of Daft Funk Samples,,4.6,2007,Rapster,2007-11-19,Nate Patrin,2007,19,11,0,0,0,0,0,0,0,0,0,0,0,6.8,7.5,4.4,3.4,8.0,6.1,7.2,7.6,8.2,7.0,0.0,0,0,1,1
12221,Various Artists,Galactic Zoo Dossier #7: Teenage Meadows of Infinity: Rare Psychs and Stomps / From the Ashes Perfect Attainment Shall Be: Modern Freaked Sounds,,6.8,2007,Drag City,2007-11-14,Andrew Gaerig,2007,14,11,0,0,0,0,0,0,0,0,0,0,0,7.5,4.4,3.4,8.0,6.1,7.2,7.6,8.2,7.0,7.8,0.0,0,1,1,0
12246,Various Artists,Well Deep: Ten Years of Big Dada Recordings,,7.5,2007,Big Dada,2007-11-07,Nate Patrin,2007,7,11,0,0,0,0,0,0,0,0,0,0,0,4.4,3.4,8.0,6.1,7.2,7.6,8.2,7.0,7.8,9.0,0.0,0,0,1,1
12259,Various Artists,Big Change: Songs for FINCA,,4.4,2007,iTunes/FINCA,2007-11-05,Stephen M. Deusner,2007,5,11,0,0,0,0,0,0,0,0,0,0,0,3.4,8.0,6.1,7.2,7.6,8.2,7.0,7.8,9.0,5.1,0.0,0,0,1,1
12263,Various Artists,BBC Radio 1: Established 1967,,3.4,2007,Unknown,2007-11-02,Nitsuh Abebe,2007,2,11,0,0,0,0,0,0,0,0,0,0,0,8.0,6.1,7.2,7.6,8.2,7.0,7.8,9.0,5.1,7.5,0.0,0,0,1,1
12279,Various Artists,I'm Not There OST,,8.0,2007,Sony,2007-10-30,Stephen M. Deusner,2007,30,10,0,0,0,0,0,0,0,0,0,0,0,6.1,7.2,7.6,8.2,7.0,7.8,9.0,5.1,7.5,7.0,0.0,1,0,1,0
12304,Various Artists,Peanut Butter Wolf Presents 2K8: B-Ball Zombie War,,6.1,2007,Stones Throw,2007-10-24,Nate Patrin,2007,24,10,0,0,0,0,0,0,0,0,0,0,0,7.2,7.6,8.2,7.0,7.8,9.0,5.1,7.5,7.0,7.7,0.0,0,1,1,0
12309,Various Artists,"People Take Warning! Murder Ballads & Disaster Songs, 1913-1938",,7.2,2007,Tompkins Square,2007-10-23,Joshua Klein,2007,23,10,0,0,0,0,0,0,0,0,0,0,0,7.6,8.2,7.0,7.8,9.0,5.1,7.5,7.0,7.7,0.0,0.0,0,0,1,1
12333,Various Artists,The Oxford American Music Issue 2007,,7.6,2007,Oxford American/CMT,2007-10-19,Stephen M. Deusner,2007,19,10,0,0,0,0,0,0,0,0,0,0,0,8.2,7.0,7.8,9.0,5.1,7.5,7.0,7.7,0.0,9.9,0.0,0,0,1,1
12435,Various Artists,Love Is the Song We Sing: San Francisco Nuggets 1965-1970,,8.2,2007,Rhino,2007-09-21,Joe Tangari,2007,21,9,0,0,0,0,0,0,0,0,0,0,0,7.0,7.8,9.0,5.1,7.5,7.0,7.7,0.0,9.9,7.6,0.0,1,0,1,0
12467,Various Artists,Kurt Cobain About a Son,,7.0,2007,Barsuk,2007-09-13,Stuart Berman,2007,13,9,0,0,0,0,0,0,0,0,0,0,0,7.8,9.0,5.1,7.5,7.0,7.7,0.0,9.9,7.6,6.9,0.0,0,0,1,1
12480,Various Artists,Home Schooled: The ABCs of Kid Soul,,7.8,2007,Numero Group,2007-09-10,Joe Tangari,2007,10,9,0,0,0,0,0,0,0,0,0,0,0,9.0,5.1,7.5,7.0,7.7,0.0,9.9,7.6,6.9,2.2,0.0,0,0,1,1
12486,Various Artists,From Dubplate to Download: The Best of Greensleeves Records,,9.0,2007,Greensleeves,2007-09-07,Jess Harvell,2007,7,9,0,0,0,0,0,0,0,0,0,0,0,5.1,7.5,7.0,7.7,0.0,9.9,7.6,6.9,2.2,7.7,0.0,0,0,1,1
12512,Various Artists,Guilt by Association,,5.1,2007,Engine Room,2007-08-30,Stephen M. Deusner,2007,30,8,0,0,0,0,0,0,0,0,0,0,0,7.5,7.0,7.7,0.0,9.9,7.6,6.9,2.2,7.7,6.9,0.0,0,0,1,1
12517,Various Artists,Rumble in the Jungle,,7.5,2007,Soul Jazz,2007-08-29,Jess Harvell,2007,29,8,0,0,0,0,0,0,0,0,0,0,0,7.0,7.7,0.0,9.9,7.6,6.9,2.2,7.7,6.9,7.5,0.0,0,0,1,1
12518,Various Artists,Ragga Jungle Dubs,,7.0,2007,Greensleeves,2007-08-29,Jess Harvell,2007,29,8,0,0,0,0,0,0,0,0,0,0,0,7.7,0.0,9.9,7.6,6.9,2.2,7.7,6.9,7.5,7.0,0.0,0,0,1,1
12525,Various Artists,Summer Records Anthology 1974-1988,,7.7,2007,Light in the Attic,2007-08-27,Nate Patrin,2007,27,8,0,0,0,0,0,0,0,0,0,0,0,0.0,9.9,7.6,6.9,2.2,7.7,6.9,7.5,7.0,8.1,0.0,0,0,1,1
12542,Various Artists,This Is Next,,0.0,2007,Vice,2007-08-22,Matt LeMay,2007,22,8,0,0,0,0,0,0,0,0,0,0,0,9.9,7.6,6.9,2.2,7.7,6.9,7.5,7.0,8.1,8.2,0.0,0,0,1,1
12563,Various Artists,"The Complete Motown Singles, Vol. 7: 1967",,9.9,2007,Hip-O Select,2007-08-16,Joe Tangari,2007,16,8,0,0,0,0,0,0,0,0,0,0,0,7.6,6.9,2.2,7.7,6.9,7.5,7.0,8.1,8.2,5.9,0.0,0,0,1,1
12566,Various Artists,Rekids Compilation One,,7.6,2007,Rekids,2007-08-15,Philip Sherburne,2007,15,8,0,0,0,0,0,0,0,0,0,0,0,6.9,2.2,7.7,6.9,7.5,7.0,8.1,8.2,5.9,6.0,0.0,0,0,1,1
12576,Various Artists,Total 8,,6.9,2007,Kompakt,2007-08-13,Jess Harvell,2007,13,8,0,0,0,0,0,0,0,0,0,0,0,2.2,7.7,6.9,7.5,7.0,8.1,8.2,5.9,6.0,8.3,0.0,0,0,1,1
12589,Various Artists,The Hottest State OST,,2.2,2007,Hickory,2007-08-09,Rob Mitchum,2007,9,8,0,0,0,0,0,0,0,0,0,0,0,7.7,6.9,7.5,7.0,8.1,8.2,5.9,6.0,8.3,7.0,0.0,0,0,1,1
12602,Various Artists,The Trials of Darryl Hunt OST,,7.7,2007,Young American,2007-08-06,Joe Tangari,2007,6,8,0,0,0,0,0,0,0,0,0,0,0,6.9,7.5,7.0,8.1,8.2,5.9,6.0,8.3,7.0,8.2,0.0,0,0,1,1
12608,Various Artists,Now-Again Re:Sounds Vol. 1,,6.9,2007,Now Again,2007-08-03,Nate Patrin,2007,3,8,0,0,0,0,0,0,0,0,0,0,0,7.5,7.0,8.1,8.2,5.9,6.0,8.3,7.0,8.2,6.4,0.0,0,0,1,1
12626,Various Artists,The Inspiring New Sounds of Rio de Janeiro,,7.5,2007,Verge Records,2007-07-30,Joe Tangari,2007,30,7,0,0,0,0,0,0,0,0,0,0,0,7.0,8.1,8.2,5.9,6.0,8.3,7.0,8.2,6.4,6.8,0.0,0,0,1,1
12630,Various Artists,Nothing Much and Something More,,7.0,2007,Minus,2007-07-27,Andy Battaglia,2007,27,7,0,0,0,0,0,0,0,0,0,0,0,8.1,8.2,5.9,6.0,8.3,7.0,8.2,6.4,6.8,7.4,0.0,0,0,1,1
12652,Various Artists,Eccentric Soul: The Prix Label,,8.1,2007,Numero Group,2007-07-23,Joe Tangari,2007,23,7,0,0,0,0,0,0,0,0,0,0,0,8.2,5.9,6.0,8.3,7.0,8.2,6.4,6.8,7.4,5.9,0.0,0,0,1,1
12661,Various Artists,The Great Koonaklaster Speaks: A John Fahey Celebration,,8.2,2007,Table of the Elements,2007-07-19,Grayson Currin,2007,19,7,0,0,0,0,0,0,0,0,0,0,0,5.9,6.0,8.3,7.0,8.2,6.4,6.8,7.4,5.9,2.9,0.0,0,0,1,1
12667,Various Artists,5 Years Get Physical,,5.9,2007,Get Physical,2007-07-18,Tim Finney,2007,18,7,0,0,0,0,0,0,0,0,0,0,0,6.0,8.3,7.0,8.2,6.4,6.8,7.4,5.9,2.9,7.9,0.0,0,0,1,1
12737,Various Artists,Mont de Sundua,Rock,6.0,2007,Removador,2007-06-27,Stephen M. Deusner,2007,27,6,0,0,0,0,0,1,0,0,0,0,0,8.3,7.0,8.2,6.4,6.8,7.4,5.9,2.9,7.9,6.8,0.0,0,0,1,1
12752,Various Artists,After Dark,,8.3,2007,Italians Do It Better,2007-06-22,Marc Hogan,2007,22,6,0,0,0,0,0,0,0,0,0,0,0,7.0,8.2,6.4,6.8,7.4,5.9,2.9,7.9,6.8,6.8,0.0,0,0,1,1
12754,Various Artists,Buried Treasure,,7.0,2007,Offshore,2007-06-21,Jess Harvell,2007,21,6,0,0,0,0,0,0,0,0,0,0,0,8.2,6.4,6.8,7.4,5.9,2.9,7.9,6.8,6.8,7.6,0.0,0,0,1,1
12765,Various Artists,"Si, Para Usted: The Funky Beats of Revolutionary Cuba, Volume One",,8.2,2007,Waxing Deep,2007-06-19,Joe Tangari,2007,19,6,0,0,0,0,0,0,0,0,0,0,0,6.4,6.8,7.4,5.9,2.9,7.9,6.8,6.8,7.6,5.4,0.0,0,0,1,1
12781,Various Artists,Speicher 3,,6.4,2007,Kompakt Extra,2007-06-14,Jess Harvell,2007,14,6,0,0,0,0,0,0,0,0,0,0,0,6.8,7.4,5.9,2.9,7.9,6.8,6.8,7.6,5.4,8.3,0.0,0,0,1,1
12784,Various Artists,"Soul Sides, Volume 2: The Covers",,6.8,2007,Zealous,2007-06-13,Stephen M. Deusner,2007,13,6,0,0,0,0,0,0,0,0,0,0,0,7.4,5.9,2.9,7.9,6.8,6.8,7.6,5.4,8.3,7.7,0.0,0,0,1,1
12786,Various Artists,Kitsuné Maison 4,,7.4,2007,Kitsuné,2007-06-13,Marc Hogan,2007,13,6,0,0,0,0,0,0,0,0,0,0,0,5.9,2.9,7.9,6.8,6.8,7.6,5.4,8.3,7.7,6.4,0.0,0,0,1,1
12820,Various Artists,D-I-Y: Do It Yourself,,5.9,2007,Soul Jazz,2007-06-04,Douglas Wolk,2007,4,6,0,0,0,0,0,0,0,0,0,0,0,2.9,7.9,6.8,6.8,7.6,5.4,8.3,7.7,6.4,8.5,0.0,0,0,1,1
